"","ID","Region","Gender","Race","Education","Marital","Religion","Happy","Income","PolParty","Politics","Marijuana","DeathPenalty","OwnGun","GunLaw","SpendMilitary","SpendEduc","SpendEnv","SpendSci","Pres00","Postlife"
"1",1,"South Central","Female","White","HS","Divorced","Inter-nondenominational","Pretty happy","30000-34999","Strong Rep","Conservative",NA,"Favor","No","Favor","Too little","Too little","About right","About right","Bush","Yes"
"2",2,"South Central","Male","White","Bachelors","Married","Protestant","Pretty happy","75000-89999","Not Str Rep","Conservative","Not legal","Favor","Yes","Oppose","About right","Too little","About right","About right","Bush","Yes"
"3",3,"South Central","Female","White","HS","Separated","Protestant",NA,"35000-39999","Strong Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
"4",4,"South Central","Female","White","Left HS","Divorced","Protestant",NA,"50000-59999","Ind, Near Dem",NA,NA,NA,NA,NA,"About right","Too little","Too little","Too little",NA,NA
"5",5,"South Central","Male","White","Left HS","Divorced","Protestant",NA,"40000-49999","Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"South Central","Male","White","HS","Divorced","Catholic","Pretty happy","40000-49999","Ind, Near Rep","Conservative",NA,"Favor","Yes","Oppose","Too little","Too little","Too little","Too little","Bush","Yes"
"7",7,"South Central","Female","White","Bachelors","Married","Protestant",NA,NA,"Strong Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
"8",8,"South Central","Female","White","HS","Married","Protestant",NA,NA,"Ind",NA,NA,NA,NA,NA,"Too little","Too little","About right","About right","Bush",NA
"9",9,"South Central","Male","White","HS","Divorced","Catholic","Not too happy","60000-74999","Strong Rep","Conservative","Legal","Favor","Yes","Oppose",NA,NA,NA,NA,"Bush","Yes"
"10",10,"South Central","Female","Other","HS","Never Married","Catholic",NA,"under 1000","Ind, Near Rep",NA,NA,NA,NA,NA,"Too much","Too little","Too little","Too little",NA,NA
"11",11,"South Central","Male","White","HS","Married","None",NA,"50000-59999","Strong Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"South Central","Male","White","Left HS","Married","Protestant",NA,"110000-129999","Not Str Rep",NA,NA,NA,NA,NA,"About right","About right","Too much","Too much","Bush",NA
"13",13,"South Central","Male","Black","Graduate","Married","Catholic",NA,"90000-109999","Not Str Dem",NA,NA,NA,NA,NA,"Too much","About right","Too little","About right",NA,NA
"14",14,"South Central","Female","White","HS","Divorced","Protestant","Pretty happy","10000-124999","Strong Rep","Slightly conservative","Not legal","Favor","No","Favor",NA,NA,NA,NA,"Bush","Yes"
"15",15,"South Central","Female","Other","HS","Married","Moslem/Islam",NA,NA,"Ind, Near Rep",NA,NA,NA,NA,NA,"About right","Too much","Too much","Too much",NA,NA
"16",16,"South Central","Female","White","HS","Married","Orthodox-Christian",NA,NA,"Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"South Central","Female","White","HS","Divorced","Christian","Not too happy",NA,"Not Str Rep","Slightly conservative",NA,"Favor","No","Favor","About right","Too little","Too little","About right",NA,"Yes"
"18",18,"South Central","Male","White","HS","Never Married","Protestant","Very happy","40000-49999","Strong Rep","Slightly conservative","Legal","Favor",NA,NA,NA,NA,NA,NA,"Bush","Yes"
