,carrier,dep_delay,orig.id
1,AA,-7,30700
2,AA,-3,5031
3,AA,9,24283
4,AA,-3,11635
5,AA,-3,6323
6,AA,0,22241
7,AA,-12,1243
8,AA,9,30424
9,AA,-5,21430
10,AA,0,14976
11,AA,-7,18433
12,AA,-6,26926
13,AA,-9,8600
14,AA,-10,12292
15,AA,-7,18266
16,AA,-10,26023
17,AA,-6,17741
18,AA,-1,1140
19,AA,5,24912
20,AA,-10,7372
21,AA,-2,26173
22,AA,96,8480
23,AA,-6,19571
24,AA,-7,6512
25,AA,-10,19856
26,AA,-3,11025
27,AA,3,1338
28,AA,-7,8840
29,AA,-2,9048
30,AA,108,27664
31,AA,-5,10209
32,AA,4,1881
33,AA,-2,28615
34,AA,26,19308
35,AA,-7,21182
36,AA,15,253
37,AA,-4,881
38,AA,58,5251
39,AA,-5,4332
40,AA,33,3303
41,AA,-3,29811
42,AA,15,23125
43,AA,-6,29312
44,AA,10,19068
45,AA,-4,30085
46,UA,7,28317
47,UA,159,12597
48,UA,1,42573
49,UA,126,5733
50,UA,-6,40902
51,UA,63,45815
52,UA,-1,11854
53,UA,-4,45318
54,UA,8,12996
55,UA,3,52750
56,UA,1,55626
57,UA,-5,515
58,UA,-5,44893
59,UA,4,7264
60,UA,9,36009
61,UA,-7,56718
62,UA,4,36619
63,UA,-1,4678
64,UA,-1,51633
65,UA,2,27525
66,UA,-2,28023
67,UA,21,31327
68,UA,-6,51070
69,UA,-2,44975
70,UA,22,16582
71,UA,-3,3505
72,UA,3,21023
73,UA,-3,53065
74,UA,13,44225
75,UA,0,27790
76,UA,4,35099
77,UA,13,34041
78,UA,-1,36256
79,UA,-5,23356
80,UA,105,42570
81,UA,-2,38989
82,UA,41,51764
83,UA,150,27124
84,UA,29,30371
85,UA,47,17937
86,UA,-1,51328
87,UA,-3,50299
88,UA,12,36238
89,UA,14,28698
90,UA,-1,57474
91,UA,112,37205
92,UA,5,27909
93,UA,64,8138
94,UA,20,28113
95,UA,-7,13630
