,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,orig.id
1,2013,7,15,1325,1330,-5,1527,1558,-31,DL,2043,N321NB,JFK,ATL,103,760,13,30,263870
2,2013,6,9,953,955,-2,1250,1310,-20,AA,1871,N3JGAA,LGA,MIA,153,1096,9,55,229745
3,2013,10,29,2039,2040,-1,19,2359,20,B6,523,N661JB,JFK,LAX,368,2475,20,40,53942
4,2013,7,7,1449,1455,-6,1652,1701,-9,9E,4120,N8560F,JFK,CLE,73,425,14,55,256189
5,2013,4,23,2001,2000,1,2223,2305,-42,B6,39,N559JB,JFK,PBI,128,1028,20,0,186704
6,2013,3,10,1149,1200,-11,1257,1305,-8,US,2126,N955UW,LGA,BOS,33,184,12,0,144826
7,2013,6,12,1311,1318,-7,1423,1437,-14,EV,4517,N14105,EWR,BNA,107,748,13,18,232837
8,2013,12,23,1852,1747,65,2100,1952,68,EV,4411,N13958,EWR,MEM,174,946,17,47,104246
9,2013,1,28,1535,1527,8,1655,1700,-5,EV,3835,N16961,EWR,BNA,118,748,15,27,23878
10,2013,7,31,948,945,3,1234,1305,-31,AA,1871,N3GEAA,LGA,MIA,143,1096,9,45,279158
11,2013,9,5,947,1000,-13,1049,1120,-31,US,2175,N756US,LGA,DCA,41,214,10,0,313039
12,2013,3,1,1157,1200,-3,1425,1510,-45,AA,3,N332AA,JFK,LAX,309,2475,12,0,136621
13,2013,5,19,1102,1115,-13,1238,1305,-27,MQ,4485,N844MQ,LGA,CMH,76,479,11,15,210383
14,2013,8,5,619,614,5,808,808,0,US,2063,N113UW,JFK,CLT,87,541,6,14,283661
15,2013,4,14,1823,1825,-2,2040,2039,1,DL,2019,N312US,LGA,MSP,154,1020,18,25,178077
16,2013,7,13,725,730,-5,1013,1025,-12,AA,1757,N3GAAA,JFK,TPA,145,1005,7,30,261755
17,2013,6,5,836,840,-4,1124,1144,-20,B6,175,N627JB,JFK,SEA,325,2422,8,40,226022
18,2013,12,4,1709,1715,-6,2024,2035,-11,AA,291,N3JDAA,JFK,AUS,228,1521,17,15,86802
19,2013,6,19,653,700,-7,759,807,-8,US,2163,N744P,LGA,DCA,38,214,7,0,239131
20,2013,3,19,1415,1355,20,1547,1520,27,WN,2444,N492WN,LGA,MDW,116,725,13,55,153406
21,2013,2,17,1253,1259,-6,1400,1436,-36,UA,1094,N12114,EWR,ORD,108,719,12,59,125542
22,2013,10,18,1252,1300,-8,1545,1605,-20,VX,165,N632VA,EWR,LAX,334,2454,13,0,43387
